属性id	属性名	策划用	属性名id	属性类型（0：货币，1：战斗属性，2：经济属性）	属性说明
310	cash_safeguard_rate	钞票仓库保护比例提高%	500080	2	例子：原来的仓库的保护比例为50%，该字段填入0.1，这现在的仓库保护比例为60%
311	oil_safeguard_rate	石油仓库保护比例提高%	500081	2	同上
312	earth_safeguard_rate	稀土仓库保护比例提高%	500082	2	同上
313	steel_safeguard_rate	钢材仓库保护比例提高%	500083	2	同上
314	army_produce_rate	部队生产速度加速%	500084	2	例子：X兵种原来的生产速度为10秒，该字段填入0.5，则现在的生产时间为10*（1-0.5））=5秒
315	army_load_rate	部队负重提高%	500085	2	X兵种原来的负重为100，该字段填入0.5，则现在的生产时间为100*（1+0.5）=150
316	army_monster_march_speed	打怪行军速度提高%	500086	2	X兵种原来的行军速度为2格每秒该字段填入0.5，则现在的行军速度为2*（1+0.5）=3格每秒
317	army_gather_march_speed	采集行军速度提高%	500087	2	同上
318	army_fight_march_speed	战斗行军速度提高%	500088	2	同上
319	army_monster_march_time	打怪行军时间减少%	500089	2	X兵种的行军速度为3格每秒，行军距离为300格，行军时间为100秒，改字段填入0.2，则现在的行军时间为100*（1-0.2）=80秒
320	army_gather_march_time	采集行军时间减少%	500090	2	同上
321	army_fight_march_time	战斗行军时间减少%	500091	2	同上
322	building_time	建筑建造速度加速%	500092	2	同上
323	energy_recover	体力恢复速度提高%	500093	2	原来的体力恢复时间为5分钟一点，该字段填入0.4，则现在的5*（1-0.4）=3分钟恢复一点体力
324	hospital_max_num	伤兵数量上限提高%	500094	2	原来伤病上限1000人，改字段填入0.2，则现在的伤病上限是1000*（1+0.2）=1200
325	hospital_recover_rate	伤兵恢复速度提高%	500095	2	原来恢复X兵种需要10秒，该字段填入0.2，则现在的恢复时间为10*（1-0.2）=8秒
326	match_army_max_num	出征部队上限提高%	500096	2	原来的部队出征上限为1000改字段填入0.2，则现在的出征上限是1000*（1+0.2）=1200
327	science_time	科技研究时间减少%	500097	2	原来的科研时间10秒，该字段填入0.2，则现在的时间为10*（1-0.2）=8秒
328	armory_capacity	兵工厂生产容量提高%	500098	2	原来工厂容量1000人，改字段填入0.2，则现在的工厂容量是1000*（1+0.2）=1200
329	army_consume	屯兵消耗资源降低%	500099	2	原来X兵种每秒消耗1点资源，该字段填入0.5，则现在每秒消耗资源为10*（1-0.5）=5
330	army1_produce_decrease	履带兵种生产消耗减低%	500100	2	同上
331	army2_produce_decrease	轮式兵种生产消耗减低%	500101	2	同上
332	army3_produce_decrease	战机兵种生产消耗减低%	500102	2	同上
333	match_queue	行军队列增加	500103	2	原来行军队列为2，该字段填入1，则现在的行军队列为3
